method,SID,age,list,sex,notes,exclusion.crit,exclude
tablet,71114-1,3.257534247,1,male,(PILOT) smooth; required a little bit of coaxing but finished the study,,0
tablet,71114-2,2.715068493,1,male,(PILOT) smooth,,0
tablet,71114-3,2.024657534,1,male,"(PILOT) distracted, continual clicking",,0
tablet,71114-4,4.632876712,1,female,(PILOT) smooth,,0
tablet,71114-5,1.756164384,1,female,"(PILOT) distracted, long pauses",,0
tablet,71414-1,3.364383562,1,male,,,0
tablet,71414-2,1.969863014,1,female,parent helped a lot to minimize clicks that are too early; sometimes repeated stimuli,,0
tablet,71414-3,3.687671233,1,male,,,0
tablet,71414-4,4.153424658,1,female,,,0
tablet,71414-5,3.95890411,1,female,,,0
tablet,71414-6,2.926027397,1,male,"exclude?? good amount of parent interference, who seemed to be translating; only hears English 25% of the time",interference,1
tablet,71414-7,5.575342466,1,female,"EXCLUDE -> too old, and no video",age,1
tablet,71414-8,3.726027397,1,female,,,0
tablet,71414-9,2.802739726,1,male,occassional parental praise,,0
tablet,71514-1,2.969863014,1,female,,,0
tablet,71514-2,4.076712329,1,female,,,0
tablet,71514-3,4.432876712,2,male,,,0
tablet,71514-4,2.071232877,1,female,almost made it through,,0
tablet,71514-5,1.547945205,1,male,,,0
tablet,71514-6,2.767123288,1,male,,,0
tablet,71514-7,1.994520548,2,female,mom played dot game to coax child into participating,,0
tablet,71514-8,4.2,2,male,,,0
tablet,71514-9,2.726027397,2,male,,,0
tablet,71514-10,3.167123288,2,male,"misclick on ""kreeb""",,0
tablet,71614-1,3.471232877,2,male,,,0
tablet,71614-2,4.430136986,2,female,,,0
tablet,71614-3,2.301369863,2,female,,,0
tablet,71614-4,3.046575342,2,male,attempted to click one without listening first,,0
tablet,71614-5,4.950684932,2,female,EXCLUDE -> too old,,0
tablet,71614-6,3.679452055,2,female,,,0
tablet,71614-7,3.515068493,2,male,,,0
tablet,71614-8,1.843835616,2,female,"mom had to coax a lot, and praised occasionally",,0
tablet,71614-9,4.183561644,2,male,Accidentally entered as 71614-8 instead of 71614-9 (3:10-3:15PM) (fixed -> ES),,0
tablet,71614-10,3.698630137,2,female,,,0
tablet,71614-11,1.926027397,2,male,"EXCLUDE -> many many reasons: sibling interference, lack of attention/understanding of the rules. Basically the Platonic Ideal of data that needs to be excluded",interference,1
tablet,72014-1,3.895890411,2,male,"disregard trial around 12:06, children could not complete past dot game",non-compliant,1
tablet,72014-2,3.778082192,2,female,dad played part of dot game to coax child into participating,,0
tablet,72014-3,2.210958904,2,female,"mom had to repeat many words, occasionally praised",,0
tablet,72014-4,3.882191781,1,male,mom said child received speech therapy from 18 months to age 2,,0
tablet,72014-5,3.487671233,1,male,,,0
tablet,72014-6,3.928767123,2,male,,,0
tablet,72014-7,2.331506849,2,male,"Disregard first 72014-7, as there was no video and child couldn't complete; actual 72014-7 picked 1-2 before hearing word and had 1 misclick",,0
tablet,72014-8,3.216438356,2,male,Father praised twice,,0
tablet,72214-1B,2.630136986,1,male,,,0
