method,SID,age,list,sex,hispanic,ethnicity,english,num_lang,parent_ed,other_ed,premie,notes,exclusion.crit,exclude
eye-tracker,2014_07_03_1,3.668493151,1,male,no,asian,100,1,6,6,0,v.inattentive/fidgety,,0
eye-tracker,2014_07_03_2,3.232876712,1,female,no,asian,75,2,4,4,0,,,0
eye-tracker,2014_07_03_3,1.835616438,1,female,no,white,90,2,6,6,0,,,0
eye-tracker,2014_07_03_4,3.295890411,1,female,no,asian,75,2,6,4,0,,,0
eye-tracker,2014_07_03_5,2.189041096,1,female,no,white,100,1,5,6,0,v.fidgety,,0
eye-tracker,2014_07_29_6,2.82739726,1,female,no,Indian,50,2,6,,0,,,0
eye-tracker,2014_07_29_7,2.361643836,1,female,no,White,90,2,4,3,0,,,0
eye-tracker,2014_07_29_8,3.353424658,1,female,no,White,90,2,6,4,0,,,0
eye-tracker,2014_07_29_9,2.15890411,1,male,no,Asian/White,100,1,6,4,0,,,0
eye-tracker,2014_07_29_10,4.975342466,1,male,no,Asian/White,100,1,6,5,0,,,0
eye-tracker,2014_08_1-3,4.547945205,2,male,no,white,100,1,6,4,0,"disregard 2014_08_01-1+2, we had trouble figuring out the eyetracker. Will change future numbering to reflect Janelle's ",,0
eye-tracker,2014_08_01_11,4.794520548,2,female,yes,n/a,75,2,4,4,0,,,0
eye-tracker,2014_08_01_12,4.98630137,2,male,yes,white,100,1,4,4,0,disregard first 2014_8_01_12,,0
eye-tracker,2014_08_01_13,3.216438356,2,male,no,asian,25,2,6,6,0,"EXCLUDE->25% english, but he seemed attentive and understanding",lang,1
eye-tracker,2014_08_01_14,4.356164384,2,female,no,asian,75,2,6,6,0,,,1
eye-tracker,2014_08_05_15,,,,,,,,,,,No data for this participant ,ee,1
eye-tracker,2014_08_05_16,4.120547945,1,female,no,white,90,2,6,6,0,Accidentally entered into computer id as 2014_8_04_16 instead of the 5th,,0
eye-tracker,2014_08_05_17,2.616438356,1,male,no,white,50,2,6,4,0,EXCLUDE- 50% english but he still watched the whole video,lang,1
eye-tracker,2014_08_05_18,3.808219178,1,male,no,Asian Indian,75,4,6,6,0,,,0
eye-tracker,2014_08_05_19,2.221917808,1,female,no,white- Iranian,75,2,6,6,0,First video disregard but second video is useable data ,,0
eye-tracker,2014_08_15_20,3.876712329,2,female,no,white,100,1,6,4,0,A little fidgety during the second half of the video but watched the entire thing,,0
eye-tracker,2014_08_15_21,3.506849315,2,female,no,asian,75,2,6,6,0,A little fidgety and dad spoke to her in her other language for part of the time so uncertain as to what he said,interference,1
eye-tracker,2014_08_15_22,3.706849315,2,male,no,Asian,100,1,6,6,0,Took third time to get dancing elmo to move around the screen but 3rd video is good data,,0
eye-tracker,2014_08_15_23,1.079452055,2,female,no,white,100,1,6,6,0,Mom repeated the words a couple of times and the last 5 she pointed at the pictures to keep the baby engaged,interference,1
eye-tracker,2014_08_15_24,3.917808219,2,female,no,white,100,2,4,6,0,Video may accidentally be called 23 also but should be 24 ,,0
eye-tracker,2014_08_15_25,3.791780822,2,female,no,white,50,2,6,2,0,EXCLUDE- language 50%,lang,1
eye-tracker,2014_08_15_26,4.180821918,2,male,no,white,100,1,6,4,0,,,0
eye-tracker,2014_08_15_27,3.164383562,2,male,no,Asian,25,2,3,4,0,EXCLUDE- language 25%,lang,1
eye-tracker,2014_08_18_28,3.131506849,2,male,yes,latino/arabic,75,3,6,4,0,,,0
eye-tracker,2014_08_18_29,3.687671233,2,male,no,white,90,3,4,6,0,,,0
eye-tracker,2014_08_18_30,3.126027397,2,female,no,black,100,1,6,6,0,,,0
eye-tracker,2014_08_18_31,2.367123288,2,male,no,asian/white,75,2,6,4,0,,,0
eye-tracker,2014_08_18_32,4.024657534,2,female,no,asian,90,2,4,6,0,"EXCLUDE- did not finish, only got through first 1/4",,0
eye-tracker,2014_08_18_33,4.164383562,2,female,yes,filipino/mexican,100,1,4,4,0,,,0
eye-tracker,2014_08_18_34,2.75890411,2,female,yes,filipino/mexican,100,1,4,4,0,,,0
eye-tracker,2014_08_18_35,3.589041096,2,female,no,white,100,2,6,6,0,,,0
eye-tracker,2014_08_20_36,4.219178082,2,female,no,asian,75,2,6,6,0,,,0
eye-tracker,2014_08_20_37,3.265753425,2,male,no,white/filipino,100,1,4,3,1,EXCLUDE- was not attentive and eyetracker only tracked about 50% of the video,,0
eye-tracker,2014_08_20_38,2.863013699,2,female,no,white,100,1,6,6,0,,,0
eye-tracker,2014_08_20_39,3.002739726,2,male,no,asian,25,2,6,6,0,EXCLUDE- language 25%,lang,1
eye-tracker,2014_08_20_40,2.687671233,2,male,no,asian/white,50,2,6,4,0,EXCLUDE- language 50% but he understood everything ,lang,1
eye-tracker,2014_08_20_41,3.657534247,2,male,50% Spanish,white/spanish,100,1,4,4,0,A little fidgety and kept trying to sit forward to watch video,,0
eye-tracker,2014_08_20_42,3.756164384,2,male,yes,,90,2,4,3,0,,,0
eye-tracker,2014_08_22_43,2.621917808,1,female,no,white,100,1,3,3,0,,,0
eye-tracker,2014_08_22_44,1.810958904,1,female,no,asian,100,3,6,6,0,Some parental reinforcement but mostly just to keep her engaged to watch the whole video,,0
eye-tracker,2014_08_22_45,2.030136986,1,male,yes,black/white,100,1,6,6,0,,,0
eye-tracker,2014_08_22_46,3.583561644,1,male,no,asian/white,100,2,4,6,0,,,0
eye-tracker,2014_08_22_47,4.62739726,1,male,no,other,90,2,6,6,0,,,0
eye-tracker,2014_08_22_48,2.038356164,1,female,no,asian,50,2,4,4,0,EXCLUDE- language 50% and a lot of parental interference/ translating,lang,1
eye-tracker,2014_08_22_49,4.01369863,1,female,no,other,90,3,6,6,0,"EXCLUDE- not engaged in video, kept getting distracted and eyetracker only picked up some of her looking",,0
eye-tracker,2014_08_22_50,3.202739726,1,male,no,white,100,1,6,5,0,,,0
eye-tracker,2014_08_22_51,3.139726027,1,female,yes,,75,2,3,4,0,,,0
eye-tracker,2014_08_24_52,3.660273973,1,male,no,white,75,2,4,4,0,,,0
eye-tracker,2014_08_24_53,3.2,1,male,no,white,75,2,6,6,0,,,0
eye-tracker,2014_08_24_54,2.504109589,1,male,no,asian,5,2,6,6,0,EXCLUDE- language 5%,lang,1
eye-tracker,2014_08_24_55,4.849315068,1,male,no,white,,,6,2,0,didn't answer language question but child spoke fluently ,,0
eye-tracker,2014_08_24_56,2.62739726,1,male,yes,white,100,1,3,3,0,child needed lots of mother's praise to stay sitting,,0
eye-tracker,2014_08_26_57,2.95890411,1,male,yes,american indian/asian,90,2,6,6,1,,,0
eye-tracker,2014_08_27_58,1.706849315,1,female,no,asian,25,2,4,6,0,EXCLUDE- language 25%,lang,1
eye-tracker,2014_08_27_59,1.983561644,1,male,no,white,5,2,5,6,0,EXCLUDE- language 5%,lang,1
eye-tracker,2014_08_27_60,3.98630137,1,female,no,white,50,2,5,6,0,EXCLUDE- language 50% but understood everything,lang,1
eye-tracker,2014_08_27_61,4.235616438,1,male,yes,1/2 white 1/2 mexican,75,3,4,4,0,,,0
eye-tracker,2014_08_27_62,1.805479452,1,female,yes,white,90,2,3,3,0,,,0
eye-tracker,2014_08_29_63,4.947945205,2,male,no,asian,50,2,6,6,1,EXCLUDE- language 50%,,1
eye-tracker,2014_09_02_64,2.465753425,2,female,no,asian/white,100,1,6,6,0,,,0
eye-tracker,2014_09_02_65,2.605479452,2,female,no,white,100,1,6,4,0,"EXCLUDE- didn't finish, only got through first 1/4",,0
eye-tracker,2014_09_02_66,3.589041096,2,male,yes,latino,25,2,2,2,0,EXCLUDE- language 25%,lang,1
eye-tracker,2014_09_02_67,2.353424658,2,male,no,white,100,1,4,4,0,,,0
eye-tracker,2014_09_03_68,1.920547945,1,female,no,white,90,1,6,6,0,,,0
eye-tracker,2014_09_03_69,2.139726027,1,male,no,white,100,1,7,5,0,,,0
eye-tracker,2014_09_03_70,2.334246575,2,male,no,white,100,,,,,,,0
eye-tracker,2014_09_03_71,1.893150685,2,male,no,asian,5,2,6,6,0,EXCLUDE- language 5% and didn't make it past the dancing elmos,lang,1
eye-tracker,2014_09_03_72,2.578082192,2,female,no,white,100,1,3,2,0,Very fidgety but sat through and finished all of it,,0
eye-tracker,2014_09_03_73,2.747945205,2,male,no,white,90,3,4,4,0,Fidgety and predicted a lot of words or mom would repeat a few times but overall good,interference,1
eye-tracker,2014_09_04_74,2.117808219,2,male,no,american indian/african america/west indian,75,3,6,6,0,,,0
eye-tracker,2014_09_04_75,4.630136986,2,male,no,asian,50,2,6,6,0,"EXCLUDE- language 50%, but seemed to understand",lang,1
eye-tracker,2014_09_04_76,1.073972603,2,male,no,white,100,1,6,6,0,"Fidgety, especially towards end",,0
eye-tracker,2014_09_04_77,2.038356164,2,male,no,white,100,1,4,3,0,,,0
eye-tracker,2014_09_05_78,2.895890411,2,male,no,white,100,1,6,4,0,,,0
eye-tracker,2014_09_05_79,2.835616438,2,male,no,asian,50,2,6,6,0,EXCLUDE- language 50% and very fidgety/ mom interfered a lot and had to repeat things,lang,1
eye-tracker,2014_09_05_80,4.109589041,2,male,yes,asian/white,100,1,6,6,0,,,0
eye-tracker,2014_09_05_81,4.526027397,2,male,yes,white/hispanish,90,2,6,3,0,Eyetracker lost track of his eyes a few times but overall did well,,0
eye-tracker,2014_09_05_82,2.347945205,2,male,yes,white/hispanic,90,2,6,3,0,"Very fidgety and moved around a lot, tried to touch the screen instead of looking at pictures sometimes",,0
eye-tracker,2014_09_05_83,1.57260274,2,female,no,asian/white,50,2,6,4,0,EXCLUDE- language 50% but seemed to understand most and sat through entire video,lang,1
eye-tracker,2014_09_05_84,1.578082192,2,male,,,,,,,,EXCLUDE- didn't make it past the dancing elmos,,0
eye-tracker,2014_09_05_85,4.682191781,2,female,no,white,75,4,4,6,0,,,0
eye-tracker,2014_09_09_86,3.928767123,1,male,no,white,100,1,3,3,0,,,0
eye-tracker,2014_09_09_87,4.369863014,1,male,no,white,100,1,4,6,0,Very fidgety but sat through whole video,,0
eye-tracker,2014_09_09_88,2.802739726,1,female,no,white,100,1,4,6,0,,,0
